index,key_suffix,name,display_name,hex,L,a,b
0,c000,Black Hole,Black Hole,#010203,0.082309,-0.003926,-0.007011
1,c001,Glossy Black,Glossy Black,#110011,0.124644,0.048773,-0.030049
2,c002,Cosmic Bit Flip,Cosmic Bit Flip Black,#001000,0.149931,-0.040472,0.031061
3,c003,Dwarf Fortress,Dwarf Fortress Brown,#1d0200,0.151133,0.044516,0.030397
4,c004,Oblivion,Oblivion Blue,#000435,0.159805,-0.009806,-0.095048
5,c005,Dreamless Sleep,Dreamless Sleep Gray,#111111,0.177638,0.000000,0.000000
6,c006,Your Darkness,Your Darkness Purple,#220044,0.211967,0.055065,-0.099615
7,c007,Vienna Roast,Vienna Roast Magenta,#330022,0.213756,0.087826,-0.022641
8,c008,Shadow Play,Shadow Play Brown,#2d1403,0.224108,0.029497,0.040313
9,c009,Alone in the Dark,Alone in the Dark Blue,#000066,0.230653,-0.016562,-0.158966
10,c010,Midnight Dreams,Midnight Dreams,#002233,0.237842,-0.028940,-0.041327
11,c011,Ink Black,Ink Black,#252024,0.250793,0.009332,-0.004834
12,c012,Lindworm Green,Lindworm Green,#172808,0.253245,-0.039208,0.042259
13,c013,Azulado,Azulado Blue,#211d49,0.262683,0.018642,-0.076885
14,c014,Lonely Chocolate,Lonely Chocolate,#4a0a00,0.266867,0.080182,0.053657
15,c015,Black Sea Night,Black Sea Night,#052462,0.285101,-0.016292,-0.114578
16,c016,Clairvoyant,Clairvoyant Purple,#480656,0.297460,0.102323,-0.087869
17,c017,Go to Hell Black,Go to Hell Black,#342c21,0.298418,0.005553,0.021528
18,c018,Elite Teal,Elite Teal,#133337,0.299050,-0.034062,-0.016853
19,c019,Orbital Kingdom,Orbital Kingdom Blue,#220088,0.300350,0.019837,-0.186094
20,c020,Castro,Castro Brown,#44232f,0.304477,0.052864,-0.002320
21,c021,Wasabi Nori,Wasabi Nori,#333300,0.310812,-0.022916,0.063759
22,c022,Purple Noir,Purple Noir,#322c56,0.321603,0.022738,-0.069431
23,c023,Explorer of the Galaxies,Explorer of the Galaxies Purple,#3a1f76,0.332459,0.050114,-0.129789
24,c024,Bohemian Blue,Bohemian Blue,#0000aa,0.333595,-0.023954,-0.229914
25,c025,Below the Surface,Below the Surface Blue,#0a2f7c,0.336013,-0.018048,-0.136032
26,c026,Lost in the Woods,Lost in the Woods Green,#014426,0.340409,-0.074316,0.032153
27,c027,Hellbound,Hellbound Red,#710101,0.345172,0.122957,0.068392
